what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1542223756868
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1542223756869
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1542223756877
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1542223756877
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1542223756877
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1542223756894
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1542223756906
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1542223756907
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1542223756907
started,bundle,org.eclipse.equinox.preferences,3.4.0.v20110502,"org.eclipse.equinox.preferences",1542223756916
started,bundle,org.eclipse.equinox.registry,3.5.100.v20110502,"org.eclipse.equinox.registry",1542223756926
started,bundle,org.eclipse.equinox.security,1.1.0.v20110502,"org.eclipse.equinox.security",1542223756941
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1542223756943
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1542223756954
started,bundle,org.eclipse.jdt.core,3.7.0.v_B61,"org.eclipse.jdt.core",1542223756969
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1542223756976
started,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1542223757011
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1542223757021
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1542223757043
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1542223757050
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1542223757072
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1542223757072
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1542223757080
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1542223757090
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1542223757091
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1542223757091
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1542223757098
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1542223757106
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1542223757117
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1542223757127
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1542223757133
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1542223757145
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1542223757148
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1542223757159
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1542223757172
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1542223757181
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1542223757181
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1542223757185
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1542223757185
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1542223757190
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1542223757244
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1542223757267
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1542223757268
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1542223757268
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1542223757281
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1542223757290
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1542223757300
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1542223757311
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1542223757314
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1542223757315
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1542223757319
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1542223757326
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1542223757340
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1542223757341
started,bundle,org.jboss.ide.eclipse.as.core,2.3.0.v20111104-1515-H45-M4,"org.jboss.ide.eclipse.as.core",1542223757341
started,bundle,org.jboss.ide.eclipse.as.ui,2.3.0.v20111104-1515-H45-M4,"org.jboss.ide.eclipse.as.ui",1542223757341
started,bundle,org.jboss.tools.central,1.0.0.v20111027-1746-H8-M4,"org.jboss.tools.central",1542223757341
started,bundle,org.jboss.tools.common,3.3.0.v20111027-1555-H29-M4,"org.jboss.tools.common",1542223757395
started,bundle,org.jboss.tools.common.model,3.3.0.v20111027-1555-H29-M4,"org.jboss.tools.common.model",1542223757403
started,bundle,org.jboss.tools.runtime,1.3.0.v20111021-1903-H36-M4,"org.jboss.tools.runtime",1542223757403
started,bundle,org.jboss.tools.runtime.ui,1.3.0.v20111021-1903-H36-M4,"org.jboss.tools.runtime.ui",1542223757404
started,bundle,org.jboss.tools.seam.core,3.3.0.v20111020-1412-H45-M4,"org.jboss.tools.seam.core",1542223757404
started,bundle,org.jboss.tools.seam.ui,3.3.0.v20111020-1412-H45-M4,"org.jboss.tools.seam.ui",1542223757420
started,bundle,org.jboss.tools.usage,1.1.0.v20111021-1509-H27-M4,"org.jboss.tools.usage",1542223757420
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1542223757424
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1542223757434
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110318-1700,"org.eclipse.team.svn.mylyn",1542223757434
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1542223757434
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1542223757434
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1542223757434
started,bundle,org.eclipse.emf.ecore.edit,2.7.1.v20120130-0943,"org.eclipse.emf.ecore.edit",1542223757434
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1542223757446
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1542223757446
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1542223757446
started,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1542223757454
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1542223757454
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1542223757467
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1542223757467
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1542223757473
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1542223757484
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1542223757487
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1542223757490
started,bundle,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.ui",1542223757551
started,bundle,fr.obeo.dsl.common,3.3.0.201208171458,"fr.obeo.dsl.common",1542223757560
started,bundle,fr.obeo.dsl.common.ui,2.6.0.201208171458,"fr.obeo.dsl.common.ui",1542223757561
started,bundle,fr.obeo.dsl.viewpoint,4.1.0.201208171458,"fr.obeo.dsl.viewpoint",1542223757573
started,bundle,fr.obeo.dsl.viewpoint.diagram,4.1.0.201208171458,"fr.obeo.dsl.viewpoint.diagram",1542223757587
started,bundle,fr.obeo.dsl.viewpoint.ui,4.1.0.201208171458,"fr.obeo.dsl.viewpoint.ui",1542223757587
started,bundle,fr.obeo.mda.ecore.extender,1.1.0.201208171458,"fr.obeo.mda.ecore.extender",1542223757596
started,bundle,fr.obeo.oo15oo.oo19oo,2.0.0.201205111415,"fr.obeo.oo15oo.oo19oo",1542223757603
started,bundle,fr.obeo.oo15oo.oo19oo.oo221oo,2.0.0.201205111415,"fr.obeo.oo15oo.oo19oo.oo221oo",1542223757604
started,bundle,org.eclipse.emf.validation,1.4.0.v20100428-2315,"org.eclipse.emf.validation",1542223757613
started,bundle,org.eclipse.gmf.runtime.diagram.core,1.4.1.v20101221-2230,"org.eclipse.gmf.runtime.diagram.core",1542223757623
started,bundle,org.obeonetwork.dsl.cinematic.design,1.0.0.201209200924,"org.obeonetwork.dsl.cinematic.design",1542223757629
started,bundle,org.obeonetwork.dsl.environment.binding.dialect,1.1.0.201209200924,"org.obeonetwork.dsl.environment.binding.dialect",1542223757633
started,bundle,org.obeonetwork.dsl.is.design,2.3.0.201209200924,"org.obeonetwork.dsl.is.design",1542223757635
os,sysinfo,,,"linux",1542223757644
arch,sysinfo,,,"x86",1542223757644
ws,sysinfo,,,"gtk",1542223757644
locale,sysinfo,,,"es_VE",1542223757644
processors,sysinfo,,,"2",1542223757644
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1542223757644
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1542223757644
java.specification.name,sysinfo,,,"Java Platform API Specification",1542223757644
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1542223757644
java.specification.version,sysinfo,,,"1.6",1542223757644
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1542223757644
java.version,sysinfo,,,"1.6.0_26",1542223757644
java.vm.info,sysinfo,,,"mixed mode, sharing",1542223757644
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1542223757644
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1542223757644
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1542223757644
java.vm.specification.version,sysinfo,,,"1.0",1542223757644
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1542223757644
java.vm.version,sysinfo,,,"20.1-b02",1542223757644
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1542223757704
started,bundle,org.jboss.tools.runtime.core,1.3.0.v20111021-1903-H36-M4,"org.jboss.tools.runtime.core",1542223758151
started,bundle,org.jboss.tools.project.examples,1.2.1.v20111103-2106-H32-M4,"org.jboss.tools.project.examples",1542223759119
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1542223759182
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1542223759193
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1542223759297
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1542223759351
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1542223759368
opened,editor,org.jboss.tools.central,1.0.0.v20111027-1746-H8-M4,"org.jboss.tools.central.editors.JBossCentralEditor",1542223759408
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1542223759770
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1542223760179
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1542223760386
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1542223760734
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1542223760798
started,bundle,org.eclipse.team.svn.core,0.7.9.I20111123-1700,"org.eclipse.team.svn.core",1542223760830
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1542223761125
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20111123-1700,"org.eclipse.team.svn.ui",1542223761179
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20111119-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1542223761240
error,log,,,"Invalid Project example:org.jboss.tools.central.jbossas.quickstart.helloworld",1542223762755
error,log,,,"Invalid Project example:org.jboss.tools.central.jbossas.quickstart.numberguess",1542223762755
error,log,,,"Invalid Project example:org.jboss.tools.central.jbossas.quickstart.login",1542223762755
error,log,,,"Invalid Project example:org.jboss.tools.central.jbossas.quickstart.kitchensink",1542223762755
error,log,,,"Invalid Project example:org.jboss.tools.central.jbossas.quickstart.jbossJavaee6Webapp",1542223762807
error,log,,,"Invalid Project example:org.jboss.tools.central.jbossas.quickstart.jbossJavaee6Ear",1542223762807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1542223917266
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1542223919928
activated,editor,org.jboss.tools.central,1.0.0.v20111027-1746-H8-M4,"org.jboss.tools.central.editors.JBossCentralEditor",1542223920180
activated,editor,org.jboss.tools.central,1.0.0.v20111027-1746-H8-M4,"org.jboss.tools.central.editors.JBossCentralEditor",1542223920357
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1542223920514
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1542223920548
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1542223923065
closed,editor,org.jboss.tools.central,1.0.0.v20111027-1746-H8-M4,"org.jboss.tools.central.editors.JBossCentralEditor",1542223923066
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1542223930328
started,bundle,org.jboss.ide.eclipse.archives.core,3.2.1.v20111022-0843-H32-M4,"org.jboss.ide.eclipse.archives.core",1542223930350
started,bundle,org.jboss.ide.eclipse.archives.ui,3.2.1.v20111022-0843-H32-M4,"org.jboss.ide.eclipse.archives.ui",1542223930350
started,bundle,org.jboss.tools.jmx.core,1.2.0.v20111022-0835-H25-M4,"org.jboss.tools.jmx.core",1542223930718
started,bundle,org.jboss.ide.eclipse.archives.webtools,2.3.0.v20111104-1515-H45-M4,"org.jboss.ide.eclipse.archives.webtools",1542223930852
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1542223936187
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1542223971761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1542223971770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1542223974791
started,bundle,org.eclipse.m2e.core,1.0.200.20111228-1245,"org.eclipse.m2e.core",1542223984436
started,bundle,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.ui",1542223984460
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1542224049516
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1542224049670
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1542224050017
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1542224050592
started,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1542224051164
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1542224052586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1542224075749
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1542224083911
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1542224083941
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1542224083959
opened,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1542224084134
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1542224084305
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1542224084305
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1542224084305
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1542224084318
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1542224116281
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1542224117322
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1542224118207
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1542224118213
started,bundle,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef",1542224119023
started,bundle,org.eclipse.emf.transaction,1.4.0.v20100331-1738,"org.eclipse.emf.transaction",1542224119122
started,bundle,org.eclipse.gmf.runtime.diagram.ui,1.5.0.v20110309-2230,"org.eclipse.gmf.runtime.diagram.ui",1542224119125
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1542224120501
started,bundle,org.eclipse.gmf.runtime.common.core,1.4.1.v20101119-2230,"org.eclipse.gmf.runtime.common.core",1542224120548
started,bundle,org.eclipse.gmf.runtime.common.ui,1.5.0.v20101221-2230,"org.eclipse.gmf.runtime.common.ui",1542224120550
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1542224121947
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1542224122055
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1542224122130
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1542224122163
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1542224122207
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1542224122226
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1542224122243
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1542224122269
stopped,bundle,org.jboss.tools.ws.creation.ui,1.2.2.v20111104-1555-H35-M4,"org.jboss.tools.ws.creation.ui",1542224122299
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1542224122349
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1542224122529
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1542224122633
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1542224122681
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1542224122681
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1542224122695
stopped,bundle,org.jboss.tools.ws.ui,1.2.2.v20111104-1555-H35-M4,"org.jboss.tools.ws.ui",1542224122695
stopped,bundle,org.jboss.tools.ws.creation.core,1.2.2.v20111104-1555-H35-M4,"org.jboss.tools.ws.creation.core",1542224122711
stopped,bundle,org.jboss.tools.ws.core,1.2.2.v20111104-1555-H35-M4,"org.jboss.tools.ws.core",1542224122719
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1542224122755
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1542224122761
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.607.v201103082002,"org.eclipse.wst.ws.explorer",1542224122802
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.403.v201108240515,"org.eclipse.wst.wsdl.ui",1542224122868
stopped,bundle,org.eclipse.wst.ws.ui,1.1.200.v201004211805,"org.eclipse.wst.ws.ui",1542224122877
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1542224122900
stopped,bundle,org.eclipse.wst.wsi,1.0.401.v201104071820,"org.eclipse.wst.wsi",1542224122946
